id,title,steamAppId,steamUrl,opencriticScore,hltbMain,hltbExtra,hltbCompletionist,releaseDate,genres,platforms,studio,steamReviewScore,steamReviewCount,steamReviewPercent,isDlc
100816,Alone in the Dark: Illumination,275060,https://store.steampowered.com/app/275060/,35,270.0,235.0,660.0,2015-06-11T00:00:00.000Z,"[""Multiplayer"", ""Gore"", ""Action"", ""Shooter"", ""Third-Person Shooter"", ""Third Person"", ""Adventure"", ""Survival Horror"", ""Co-op"", ""Singleplayer"", ""Lovecraftian"", ""Horror"", ""Survival"", ""Illuminati""]","[{""name"": ""PC""}]",Pure FPS,Mostly Negative,260.0,22.0,False
100817,Dr. Mario: Miracle Cure,,,68,213.0,180.0,316.0,2015-06-11T00:00:00.000Z,"[""Strategy"", ""Puzzle""]","[{""name"": ""Nintendo 3DS""}]",Nintendo,,,,False
100818,LEGO Jurassic World,352400,https://store.steampowered.com/app/352400/,71,627.0,1096.0,1852.0,2015-06-11T00:00:00.000Z,"[""Comedy"", ""Action"", ""Third Person"", ""Adventure"", ""Family Friendly"", ""Historical"", ""Puzzle"", ""Controller"", ""Multiplayer"", ""Split Screen"", ""Building"", ""Open World"", ""Atmospheric"", ""Dinosaurs"", ""Co-op"", ""Singleplayer"", ""LEGO"", ""Funny"", ""Movie"", ""Local Co-Op""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""Wii U""}, {""name"": ""PC""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]",TT Games Ltd,Very Positive*,3150.0,89.0,False
100819,Payday 2: Crimewave Edition,,,69,1516.0,11506.0,19470.0,2015-06-16T00:00:00.000Z,"[""First-Person Shooter""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]","505 Games, Overkill Software",,,,False
100820,Batman: Arkham Knight,208650,https://store.steampowered.com/app/208650/,86,1036.0,1975.0,3165.0,2015-06-23T00:00:00.000Z,"[""Action"", ""Dark"", ""Third Person"", ""Comic Book"", ""Adventure"", ""Beat 'em up"", ""Puzzle"", ""Mature"", ""Detective"", ""Fighting"", ""Strategy"", ""Open World"", ""Atmospheric"", ""Singleplayer"", ""Horror"", ""Story Rich"", ""Stealth"", ""Sandbox"", ""Epic"", ""Superhero""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""PC""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]",Rocksteady Studios,Very Positive,44929.0,91.0,False
100821,Devil May Cry 4 Special Edition,329050,https://store.steampowered.com/app/329050/,76,661.0,1075.0,4204.0,2015-06-23T00:00:00.000Z,"[""Action"", ""Third Person"", ""Stylized"", ""Difficult"", ""Adventure"", ""Beat 'em up"", ""Demons"", ""Controller"", ""Remake"", ""Hack and Slash"", ""Spectacle fighter"", ""Atmospheric"", ""Character Action Game"", ""Singleplayer"", ""Replay Value"", ""Story Rich"", ""Great Soundtrack"", ""Classic"", ""Soundtrack"", ""Anime"", ""Female Protagonist""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""PC""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]","CAPCOM Co.,  Ltd.",Very Positive,5218.0,86.0,False
100822,FINAL FANTASY XIV: Heavensward,359480,https://store.steampowered.com/app/359480/,85,3831.0,8572.0,31999.0,2015-06-23T00:00:00.000Z,"[""RPG"", ""MMO"", ""Turn-Based Strategy""]","[{""name"": ""PlayStation 4""}, {""name"": ""PC""}, {""name"": ""PlayStation 5""}]",Square Enix,,,,False
100823,MotoGP 15,,,66,625.0,1932.0,3120.0,2015-06-23T00:00:00.000Z,"[""Racing"", ""Simulation""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""PC""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]",Milestone S.r.l,,,,False
100824,Tales From The Borderlands: Episode Three - Catch A Ride,,,80,,,,2015-06-23T00:00:00.000Z,"[""Interactive Story""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""PC""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]",Telltale Games,,,,False
100825,Her Story,368370,https://store.steampowered.com/app/368370/,85,148.0,211.0,261.0,2015-06-24T00:00:00.000Z,"[""Simulation"", ""Adventure"", ""Puzzle"", ""Psychological"", ""FMV"", ""Detective"", ""Conversation"", ""Crime"", ""Typing"", ""Interactive Story"", ""Interactive Fiction"", ""Nonlinear"", ""Point & Click"", ""Casual"", ""Realistic"", ""Visual Novel"", ""Singleplayer"", ""Horror"", ""Choose Your Own Adventure"", ""Story Rich"", ""Exploration"", ""Female Protagonist"", ""Investigation""]","[{""name"": ""PC""}]",Sam Barlow,Very Positive*,4843.0,88.0,False
