id,title,steamAppId,steamUrl,opencriticScore,hltbMain,hltbExtra,hltbCompletionist,releaseDate,genres,platforms,studio,steamReviewScore,steamReviewCount,steamReviewPercent,isDlc
100001,The Journey Down: Chapter One,220090,https://store.steampowered.com/app/220090/,75,,,,2013-01-09T00:00:00.000Z,"[""Comedy"", ""Dark"", ""Narration"", ""Adventure"", ""Fantasy"", ""Indie"", ""2.5D"", ""Noir"", ""Episodic"", ""Dark Comedy"", ""Surreal"", ""Colorful"", ""Atmospheric"", ""Point & Click"", ""Mouse only"", ""Realistic"", ""Dark Fantasy"", ""3D"", ""Dynamic Narration"", ""Linear""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""PC""}, {""name"": ""Nintendo Switch""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]",SkyGoblin,Very Positive,709.0,86.0,False
100002,Kentucky Route Zero,231200,https://store.steampowered.com/app/231200/,89,529.0,684.0,837.0,2013-02-22T00:00:00.000Z,"[""Kickstarter"", ""Beautiful"", ""Stylized"", ""Side Scroller"", ""Adventure"", ""Indie"", ""Walking Simulator"", ""Episodic"", ""Interactive Story"", ""Surreal"", ""Atmospheric"", ""Experimental"", ""Point & Click"", ""2D"", ""Mystery"", ""Visual Novel"", ""Singleplayer"", ""Story Rich"", ""Great Soundtrack"", ""Soundtrack"", ""Exploration""]","[{""name"": ""PC""}]",Cardboard Computer,Very Positive*,2345.0,82.0,False
100003,The Bridge,204240,https://store.steampowered.com/app/204240/,73,214.0,354.0,468.0,2013-02-22T00:00:00.000Z,"[""Emotional"", ""Dark"", ""Stylized"", ""Difficult"", ""Adventure"", ""Indie"", ""Puzzle"", ""Physics"", ""Logic"", ""Surreal"", ""Strategy"", ""Atmospheric"", ""Platformer"", ""2D"", ""Casual"", ""Singleplayer"", ""Abstract"", ""Hand-drawn"", ""Philosophical""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""PC""}, {""name"": ""Nintendo Switch""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]","Ty Taylor, Vega Castañeda",Very Positive*,1226.0,85.0,False
100004,Tomb Raider,203160,https://store.steampowered.com/app/203160/,85,,,,2013-03-04T00:00:00.000Z,"[""Action"", ""Third Person"", ""Adventure"", ""Puzzle"", ""Multiplayer"", ""Quick-Time Events"", ""RPG"", ""3D Vision"", ""Platformer"", ""Shooter"", ""Atmospheric"", ""Singleplayer"", ""3D"", ""Story Rich"", ""Stealth"", ""Cinematic"", ""Third-Person Shooter"", ""Action-Adventure"", ""Exploration"", ""Female Protagonist""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""Google Stadia""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}, {""name"": ""PC""}]","Crystal Dynamics, Eidos-Montréal, Feral Interactive, Nixxes",Very Positive,47930.0,94.0,False
100005,Ultratron,219190,https://store.steampowered.com/app/219190/,71,141.0,322.0,315.0,2013-03-18T00:00:00.000Z,"[""Action"", ""Shoot 'Em Up"", ""Bullet Hell"", ""Shooter"", ""Retro"", ""Sci-fi"", ""2D"", ""Difficult"", ""Twin Stick Shooter"", ""Indie"", ""Arcade"", ""Robots"", ""Singleplayer"", ""Local Co-Op"", ""Pixel Graphics""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""Wii U""}, {""name"": ""PC""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]",Puppygames,Very Positive,515.0,87.0,False
100006,ZEN Pinball 2,,,84,79.0,,,2013-03-21T00:00:00.000Z,"[""Arcade""]","[{""name"": ""PlayStation 4""}, {""name"": ""Wii U""}, {""name"": ""PlayStation 5""}]",Zen Studios,,,,False
100007,Anodyne,234900,https://store.steampowered.com/app/234900/,69,367.0,418.0,577.0,2013-03-22T00:00:00.000Z,"[""Action"", ""Dark"", ""Retro"", ""Adventure"", ""Indie"", ""Puzzle"", ""Psychological"", ""Pixel Graphics"", ""RPG"", ""Dungeon Crawler"", ""Surreal"", ""Atmospheric"", ""2D"", ""Singleplayer"", ""Action RPG"", ""Combat"", ""Great Soundtrack"", ""Top-Down"", ""Soundtrack"", ""Action-Adventure"", ""Exploration""]","[{""name"": ""PC""}, {""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]","Melos Han-Tani, Marina Kittaka",Very Positive,943.0,86.0,False
100008,Warframe,230410,https://store.steampowered.com/app/230410/,74,7635.0,48079.0,95409.0,2013-03-25T00:00:00.000Z,"[""Action"", ""Third Person"", ""Sci-fi"", ""Character Customization"", ""Loot"", ""Multiplayer"", ""Space"", ""RPG"", ""Hack and Slash"", ""Free to Play"", ""Shooter"", ""PvE"", ""Lore-Rich"", ""Co-op"", ""Online Co-Op"", ""Singleplayer"", ""Action RPG"", ""Looter Shooter"", ""Parkour"", ""Third-Person Shooter"", ""Massively Multiplayer"", ""Ninja""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""PC""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]",Digital Extremes,Very Positive*,274595.0,91.0,False
100009,Another World,233550,https://store.steampowered.com/app/233550/,73,139.0,163.0,157.0,2013-04-04T00:00:00.000Z,"[""1990's"", ""Action"", ""Retro"", ""Sci-fi"", ""Difficult"", ""Adventure"", ""Old School"", ""Puzzle"", ""Controller"", ""Remake"", ""2D Platformer"", ""Atmospheric"", ""Platformer"", ""2D"", ""Singleplayer"", ""Cult Classic"", ""Aliens"", ""Cinematic"", ""Classic""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""Wii U""}, {""name"": ""PC""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]","Eric Chahi, DotEmu",Very Positive,1570.0,84.0,False
100010,FEZ,224760,https://store.steampowered.com/app/224760/,88,357.0,514.0,727.0,2013-05-01T00:00:00.000Z,"[""Beautiful"", ""Retro"", ""Adventure"", ""Indie"", ""2.5D"", ""Puzzle"", ""Controller"", ""Pixel Graphics"", ""Cute"", ""Relaxing"", ""Metroidvania"", ""Atmospheric"", ""Platformer"", ""2D"", ""Mystery"", ""Casual"", ""Singleplayer"", ""Great Soundtrack"", ""Soundtrack"", ""Exploration""]","[{""name"": ""PlayStation 4""}, {""name"": ""PC""}, {""name"": ""PlayStation 5""}]",Polytron Corporation,Very Positive*,6080.0,91.0,False
100011,Anomaly 2,236730,https://store.steampowered.com/app/236730/,74,391.0,613.0,843.0,2013-05-15T00:00:00.000Z,"[""Multiplayer"", ""Touch-Friendly"", ""Action"", ""Top-Down"", ""Sci-fi"", ""Real-Time Strategy"", ""RTS"", ""Indie"", ""Tower Defense"", ""Singleplayer"", ""Strategy"", ""Tactical""]","[{""name"": ""PlayStation 4""}, {""name"": ""PC""}, {""name"": ""PlayStation 5""}]",11 bit studios,Mostly Positive,418.0,77.0,False
100012,Reus,222730,https://store.steampowered.com/app/222730/,73,523.0,1231.0,4012.0,2013-05-16T00:00:00.000Z,"[""Simulation"", ""God Game"", ""Fantasy"", ""Indie"", ""Family Friendly"", ""Puzzle"", ""Multiplayer"", ""Relaxing"", ""Strategy"", ""Management"", ""Nature"", ""2D"", ""Casual"", ""Singleplayer"", ""Resource Management"", ""Replay Value"", ""Great Soundtrack"", ""Addictive"", ""Soundtrack"", ""Sandbox"", ""Funny""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}, {""name"": ""PC""}]",Abbey Games,Mostly Positive*,2400.0,78.0,False
100013,The Night of the Rabbit,230820,https://store.steampowered.com/app/230820/,76,601.0,850.0,940.0,2013-05-28T00:00:00.000Z,"[""1990's"", ""Third Person"", ""Retro"", ""Adventure"", ""Fantasy"", ""Indie"", ""Puzzle"", ""Remake"", ""Hidden Object"", ""Atmospheric"", ""Magic"", ""Point & Click"", ""2D"", ""Singleplayer"", ""Cult Classic"", ""Story Rich"", ""Great Soundtrack"", ""Classic"", ""Hand-drawn"", ""Soundtrack""]","[{""name"": ""Nintendo Switch""}, {""name"": ""PC""}]",Daedalic Entertainment,Very Positive*,1045.0,87.0,False
100014,The Swapper,231160,https://store.steampowered.com/app/231160/,85,310.0,331.0,367.0,2013-05-30T00:00:00.000Z,"[""Action"", ""Sci-fi"", ""Difficult"", ""Side Scroller"", ""Adventure"", ""Indie"", ""Puzzle"", ""Psychological"", ""Space"", ""Metroidvania"", ""Atmospheric"", ""Platformer"", ""2D"", ""Mystery"", ""Singleplayer"", ""Horror"", ""Story Rich"", ""Great Soundtrack"", ""Soundtrack"", ""Exploration"", ""Philosophical""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""Wii U""}, {""name"": ""PC""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]","Olli Harjola,  Otto Hantula,  Tom Jubert,  Carlo Castellano",Very Positive*,3351.0,93.0,False
100015,Neverwinter,109600,https://store.steampowered.com/app/109600/,73,3043.0,6795.0,29140.0,2013-12-05T00:00:00.000Z,"[""Action"", ""Third Person"", ""Character Customization"", ""Adventure"", ""Fantasy"", ""Multiplayer"", ""RPG"", ""Hack and Slash"", ""Open World"", ""Free to Play"", ""Atmospheric"", ""PvE"", ""Dungeons & Dragons"", ""Co-op"", ""Action RPG"", ""MMO"", ""PvP"", ""MMORPG"", ""Massively Multiplayer"", ""Dragons""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""PC""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]",Cryptic Studios,Mostly Positive*,18506.0,74.0,False
100016,Deadpool,224060,https://store.steampowered.com/app/224060/,66,444.0,573.0,1020.0,2013-06-25T00:00:00.000Z,"[""Action""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""PC""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]","Activision, High Moon Studios",,,,False
100017,Shadowrun Trilogy,,,74,,4047.0,,2013-06-25T00:00:00.000Z,"[""RPG""]","[{""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}, {""name"": ""Xbox One""}, {""name"": ""PlayStation 4""}, {""name"": ""Nintendo Switch""}, {""name"": ""PC""}]","Codeglue, Paradox Interactive",,,,False
100018,Rogue Legacy,241600,https://store.steampowered.com/app/241600/,84,1013.0,1653.0,2338.0,2013-06-27T00:00:00.000Z,"[""Action"", ""Side Scroller"", ""Adventure"", ""Fantasy"", ""Action Roguelike"", ""Indie"", ""Roguelike"", ""Controller"", ""Pixel Graphics"", ""Roguevania"", ""Arcade"", ""Medieval"", ""RPG"", ""Metroidvania"", ""Platformer"", ""2D"", ""Singleplayer"", ""Roguelite"", ""Addictive"", ""Exploration""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""PC""}, {""name"": ""PlayStation Vita""}, {""name"": ""Nintendo Switch""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]",Cellar Door Games,Very Positive*,9976.0,91.0,False
100019,If My Heart Had Wings,326480,https://store.steampowered.com/app/326480/,77,1270.0,2002.0,3151.0,2013-06-28T00:00:00.000Z,"[""Simulation"", ""Action"", ""Nudity"", ""Sexual Content"", ""Adventure"", ""Dating Sim"", ""Mature"", ""Choices Matter"", ""Cute"", ""Atmospheric"", ""Point & Click"", ""Casual"", ""Visual Novel"", ""Singleplayer"", ""Story Rich"", ""Great Soundtrack"", ""Soundtrack"", ""Funny"", ""Romance"", ""Anime""]","[{""name"": ""PC""}, {""name"": ""Nintendo Switch""}]",MoeNovel,Very Positive*,2010.0,92.0,False
100020,Bleed,239800,https://store.steampowered.com/app/239800/,74,91.0,238.0,721.0,2013-07-03T00:00:00.000Z,"[""Action"", ""Retro"", ""Difficult"", ""Side Scroller"", ""Indie"", ""Short"", ""Pixel Graphics"", ""Multiplayer"", ""Local Multiplayer"", ""Cute"", ""Arcade"", ""Bullet Time"", ""Shoot 'Em Up"", ""Platformer"", ""Shooter"", ""2D"", ""Co-op"", ""Fast-Paced"", ""Singleplayer"", ""Female Protagonist"", ""Local Co-Op""]","[{""name"": ""Xbox One""}, {""name"": ""Nintendo Switch""}, {""name"": ""PC""}, {""name"": ""PlayStation 4""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]",Ian Campbell,Very Positive,1473.0,92.0,False
100021,FINAL FANTASY VII,39140,https://store.steampowered.com/app/39140/,81,2211.0,3078.0,4945.0,2013-07-04T00:00:00.000Z,"[""1990's"", ""Party-Based RPG"", ""Retro"", ""Sci-fi"", ""Cyberpunk"", ""Exploration"", ""Adventure"", ""Fantasy"", ""Turn-Based"", ""JRPG"", ""RPG"", ""Strategy"", ""Open World"", ""Atmospheric"", ""Singleplayer"", ""Story Rich"", ""Great Soundtrack"", ""Classic"", ""Soundtrack"", ""Epic""]","[{""name"": ""PlayStation 4""}, {""name"": ""PlayStation 5""}, {""name"": ""Nintendo Switch""}, {""name"": ""PC""}, {""name"": ""Xbox Series X/S""}, {""name"": ""Xbox One""}]",Square Enix,Very Positive,15550.0,91.0,False
100022,SEGA AGES G-LOC: Air Battle,,,68,,,,2013-07-04T00:00:00.000Z,"[""Vehicle Combat""]","[{""name"": ""Nintendo 3DS""}, {""name"": ""Nintendo Switch""}]",SEGA,,,,False
100023,Dota 2,570,https://store.steampowered.com/app/570/,91,,,,2013-07-09T00:00:00.000Z,"[""Simulation"", ""Action"", ""Character Customization"", ""Difficult"", ""Fantasy"", ""Tower Defense"", ""Multiplayer"", ""Sports"", ""RPG"", ""Strategy"", ""Free to Play"", ""Co-op"", ""Online Co-Op"", ""Action RPG"", ""Replay Value"", ""PvP"", ""MOBA"", ""Team-Based"", ""Real-Time Strategy"", ""RTS"", ""Competitive"", ""eSports""]","[{""name"": ""PC""}]",Valve,Very Positive*,798122.0,88.0,False
100024,Toki Tori 2+,201420,https://store.steampowered.com/app/201420/,80,556.0,1132.0,1762.0,2013-07-11T00:00:00.000Z,"[""Adventure"", ""Indie"", ""Family Friendly"", ""Puzzle"", ""Controller"", ""Cute"", ""Relaxing"", ""Nonlinear"", ""Nature"", ""Colorful"", ""Open World"", ""Metroidvania"", ""Platformer"", ""2D"", ""Casual"", ""Singleplayer"", ""Choose Your Own Adventure"", ""Level Editor"", ""Exploration""]","[{""name"": ""PlayStation 4""}, {""name"": ""PC""}, {""name"": ""PlayStation 5""}]",Two Tribes,Very Positive,708.0,87.0,False
100025,Ittle Dew,241320,https://store.steampowered.com/app/241320/,77,171.0,316.0,511.0,2013-07-23T00:00:00.000Z,"[""Comedy"", ""Action"", ""Adventure"", ""Fantasy"", ""Indie"", ""Short"", ""Puzzle"", ""Cute"", ""RPG"", ""2D"", ""Cartoon"", ""Singleplayer"", ""Sokoban"", ""Replay Value"", ""Great Soundtrack"", ""Top-Down"", ""Soundtrack"", ""Funny"", ""Cartoony"", ""Exploration"", ""Female Protagonist""]","[{""name"": ""Wii U""}, {""name"": ""PC""}]",Ludosity,Very Positive,471.0,92.0,False
100026,Shadowrun Returns,234650,https://store.steampowered.com/app/234650/,74,703.0,898.0,1113.0,2013-07-25T00:00:00.000Z,"[""Kickstarter"", ""Sci-fi"", ""Cyberpunk"", ""Mod"", ""Adventure"", ""Fantasy"", ""Indie"", ""Crowdfunded"", ""Turn-Based"", ""Turn-Based Strategy"", ""RPG"", ""Strategy"", ""Moddable"", ""Atmospheric"", ""Singleplayer"", ""Story Rich"", ""Isometric"", ""CRPG"", ""Tactical"", ""Female Protagonist""]","[{""name"": ""PC""}]",Harebrained Schemes,Very Positive*,6645.0,89.0,False
100027,CastleStorm,241410,https://store.steampowered.com/app/241410/,80,430.0,649.0,1258.0,2013-07-29T00:00:00.000Z,"[""Comedy"", ""Action"", ""Indie"", ""Fantasy"", ""Destruction"", ""Tower Defense"", ""Physics"", ""Multiplayer"", ""Split Screen"", ""Local Multiplayer"", ""Arcade"", ""Medieval"", ""Strategy"", ""2D"", ""Casual"", ""Co-op"", ""Singleplayer"", ""RTS"", ""Funny"", ""Local Co-Op""]","[{""name"": ""Wii U""}, {""name"": ""PC""}]",Zen Studios,Very Positive,1231.0,89.0,False
100028,Hammerwatch,239070,https://store.steampowered.com/app/239070/,72,535.0,897.0,1992.0,2013-08-12T00:00:00.000Z,"[""Action"", ""Retro"", ""Adventure"", ""Fantasy"", ""Indie"", ""Roguelike"", ""Pixel Graphics"", ""Multiplayer"", ""Local Multiplayer"", ""RPG"", ""Hack and Slash"", ""Dungeon Crawler"", ""2D"", ""Co-op"", ""Online Co-Op"", ""Singleplayer"", ""4 Player Local"", ""Level Editor"", ""Top-Down"", ""Local Co-Op""]","[{""name"": ""Xbox One""}, {""name"": ""Nintendo Switch""}, {""name"": ""PC""}, {""name"": ""PlayStation 4""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]",Crackshell,Very Positive*,2447.0,87.0,False
100029,Disney DuckTales Remastered,,,73,,,,2013-08-13T00:00:00.000Z,"[""Platformer""]","[{""name"": ""Wii U""}, {""name"": ""PC""}]","WayForward, Capcom",,,,False
100030,Gone Home,232430,https://store.steampowered.com/app/232430/,85,118.0,156.0,193.0,2013-08-15T00:00:00.000Z,"[""Emotional"", ""1990's"", ""Narration"", ""Adventure"", ""Indie"", ""Short"", ""Walking Simulator"", ""Interactive Story"", ""Interactive Fiction"", ""First-Person"", ""Atmospheric"", ""Point & Click"", ""Mystery"", ""Singleplayer"", ""Story Rich"", ""Great Soundtrack"", ""Soundtrack"", ""Romance"", ""LGBTQ+"", ""Exploration"", ""Female Protagonist""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""PC""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]",Fullbright,Mostly Positive*,10598.0,77.0,False
100031,War Thunder,236390,https://store.steampowered.com/app/236390/,75,,,,2013-08-15T00:00:00.000Z,"[""Simulation"", ""Action"", ""Naval"", ""Third Person"", ""Mod"", ""Multiplayer"", ""Tanks"", ""World War II"", ""Vehicle Combat"", ""Free to Play"", ""War"", ""Shooter"", ""Vehicular Combat"", ""Military"", ""Realistic"", ""Naval Combat"", ""Combat"", ""World War I"", ""Flight"", ""Third-Person Shooter"", ""Massively Multiplayer"", ""Modern"", ""Cold War"", ""VR""]","[{""name"": ""PlayStation 4""}, {""name"": ""PC""}, {""name"": ""PlayStation 5""}]",Gaijin Entertainment,Mostly Positive*,274110.0,74.0,False
100032,Race The Sun,253030,https://store.steampowered.com/app/253030/,79,291.0,513.0,741.0,2013-12-09T00:00:00.000Z,"[""Action"", ""Third Person"", ""Difficult"", ""Noir"", ""Driving"", ""Survival"", ""Arcade"", ""Relaxing"", ""First-Person"", ""Surreal"", ""Racing"", ""Post-apocalyptic"", ""Tutorial"", ""Atmospheric"", ""3D"", ""Perma Death"", ""Level Editor"", ""Runner"", ""Procedural Generation"", ""VR""]","[{""name"": ""PlayStation 4""}, {""name"": ""Wii U""}, {""name"": ""PC""}, {""name"": ""PlayStation 5""}]",Flippfly LLC,Very Positive,1923.0,94.0,False
100033,Electronic Super Joy,244870,https://store.steampowered.com/app/244870/,78,204.0,415.0,1024.0,2013-08-23T00:00:00.000Z,"[""Action"", ""Retro"", ""Difficult"", ""Side Scroller"", ""Adventure"", ""Indie"", ""Short"", ""Precision Platformer"", ""Rhythm"", ""Pixel Graphics"", ""Score Attack"", ""Music"", ""Platformer"", ""2D"", ""Singleplayer"", ""Great Soundtrack"", ""Addictive"", ""Soundtrack"", ""Funny""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""PC""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]",Michael Todd Games,Very Positive*,1535.0,88.0,False
100034,FINAL FANTASY XIV Online,39210,https://store.steampowered.com/app/39210/,86,,,,2014-02-18T00:00:00.000Z,"[""Action"", ""Third Person"", ""Character Customization"", ""Adventure"", ""Fantasy"", ""Multiplayer"", ""JRPG"", ""RPG"", ""Open World"", ""Atmospheric"", ""Magic"", ""Co-op"", ""Online Co-Op"", ""Action RPG"", ""MMO"", ""Story Rich"", ""MMORPG"", ""Massively Multiplayer"", ""Crafting"", ""Exploration"", ""Female Protagonist""]","[{""name"": ""PlayStation 4""}, {""name"": ""PC""}, {""name"": ""PlayStation 5""}]",Square Enix,Very Positive,58271.0,87.0,False
100035,Castlevania: Lords of Shadow,,,77,1074.0,1342.0,2493.0,2013-08-27T00:00:00.000Z,"[""Action"", ""Adventure""]","[{""name"": ""PC""}]","Mercury Steam, Konami",,,,False
100036,Memoria,243200,https://store.steampowered.com/app/243200/,77,,,,2013-08-29T00:00:00.000Z,"[""Great Soundtrack"", ""1990's"", ""Atmospheric"", ""Classic"", ""Hand-drawn"", ""Retro"", ""Soundtrack"", ""Point & Click"", ""2D"", ""Adventure"", ""Fantasy"", ""Indie"", ""Medieval"", ""Singleplayer"", ""Puzzle"", ""Female Protagonist"", ""Story Rich""]","[{""name"": ""PlayStation 5""}, {""name"": ""Xbox Series X/S""}, {""name"": ""Nintendo Switch""}, {""name"": ""PC""}, {""name"": ""Xbox One""}, {""name"": ""PlayStation 4""}]",Daedalic Entertainment,Very Positive,1967.0,89.0,False
100037,Renowned Explorers: International Society,296970,https://store.steampowered.com/app/296970/,76,337.0,1749.0,1320.0,2015-09-02T00:00:00.000Z,"[""Comedy"", ""Tactical RPG"", ""Adventure"", ""Indie"", ""Roguelike"", ""Diplomacy"", ""Economy"", ""Turn-Based"", ""Turn-Based Strategy"", ""RPG"", ""Strategy"", ""Turn-Based Combat"", ""2D"", ""Casual"", ""Singleplayer"", ""Replay Value"", ""Combat"", ""Roguelite"", ""Turn-Based Tactics"", ""Funny"", ""Tactical"", ""Exploration""]","[{""name"": ""PC""}]",Abbey Games,Very Positive*,1862.0,91.0,False
100038,Rayman Legends,242550,https://store.steampowered.com/app/242550/,90,603.0,1033.0,1989.0,2013-09-03T00:00:00.000Z,"[""Comedy"", ""Action"", ""Beautiful"", ""Difficult"", ""Side Scroller"", ""Adventure"", ""Family Friendly"", ""Controller"", ""Multiplayer"", ""Local Multiplayer"", ""Music"", ""Atmospheric"", ""Platformer"", ""2D"", ""Co-op"", ""Fast-Paced"", ""Singleplayer"", ""4 Player Local"", ""Great Soundtrack"", ""Soundtrack"", ""Funny"", ""Local Co-Op""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""Wii U""}, {""name"": ""PC""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]",Ubisoft Montpellier,Very Positive*,3720.0,85.0,False
100039,Brothers - A Tale of Two Sons,225080,https://store.steampowered.com/app/225080/,77,189.0,214.0,244.0,2013-09-03T00:00:00.000Z,"[""Emotional"", ""Action"", ""Beautiful"", ""Third Person"", ""Adventure"", ""Fantasy"", ""Indie"", ""Short"", ""Puzzle"", ""Controller"", ""Multiplayer"", ""Walking Simulator"", ""3D Vision"", ""Platformer"", ""Atmospheric"", ""Casual"", ""Singleplayer"", ""3D"", ""Story Rich"", ""Great Soundtrack"", ""Soundtrack"", ""Local Co-Op""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""PC""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]",Starbreeze Studios AB,Very Positive*,16324.0,94.0,False
100040,Outlast,238320,https://store.steampowered.com/app/238320/,77,316.0,448.0,778.0,2013-09-04T00:00:00.000Z,"[""Action"", ""Dark"", ""Nudity"", ""Sci-fi"", ""Difficult"", ""First-Person Shooter"", ""Adventure"", ""Survival Horror"", ""Indie"", ""Psychological"", ""Multiplayer"", ""Walking Simulator"", ""Gore"", ""First-Person"", ""3D Vision"", ""Atmospheric"", ""Singleplayer"", ""3D"", ""Horror"", ""Parkour"", ""Stealth"", ""Survival""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""PC""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]",Red Barrels,Overwhelmingly Positive*,26242.0,96.0,False
100041,Rugby World Cup 2015,365750,https://store.steampowered.com/app/365750/,24,,,,2013-09-04T00:00:00.000Z,"[""Sports"", ""Simulation""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""PC""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]","HB Studios Multimedia, Plug In Digital",,,,False
100042,Volgarr the Viking,247240,https://store.steampowered.com/app/247240/,83,579.0,724.0,1383.0,2013-09-13T00:00:00.000Z,"[""Metroidvania"", ""2D Platformer"", ""Action"", ""Platformer"", ""Gore"", ""Retro"", ""2D"", ""Side Scroller"", ""Difficult"", ""Adventure"", ""Fantasy"", ""Arcade"", ""Indie"", ""Singleplayer"", ""Old School"", ""Pixel Graphics""]","[{""name"": ""Xbox One""}, {""name"": ""Nintendo Switch""}, {""name"": ""PC""}, {""name"": ""PlayStation 4""}, {""name"": ""PlayStation Vita""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]",Crazy Viking Studios,Very Positive,1590.0,84.0,False
100043,Foul Play,244810,https://store.steampowered.com/app/244810/,65,282.0,286.0,661.0,2013-09-18T00:00:00.000Z,"[""Comedy"", ""Action"", ""2D"", ""Side Scroller"", ""Adventure"", ""Beat 'em up"", ""Indie"", ""Casual"", ""Steampunk"", ""Co-op"", ""Online Co-Op"", ""Local Co-Op""]","[{""name"": ""PlayStation 4""}, {""name"": ""PC""}, {""name"": ""PlayStation 5""}]",Mediatonic,Very Positive,460.0,80.0,False
100044,Ironclad Tactics,226960,https://store.steampowered.com/app/226960/,69,303.0,700.0,600.0,2013-09-18T00:00:00.000Z,"[""Turn-Based"", ""Turn-Based Strategy"", ""Deckbuilding"", ""Mechs"", ""Indie"", ""Card Game"", ""Casual"", ""Steampunk"", ""Card Battler"", ""Robots"", ""Co-op"", ""Singleplayer"", ""Strategy"", ""Tactical""]","[{""name"": ""PlayStation 4""}, {""name"": ""PC""}, {""name"": ""PlayStation 5""}]",Zachtronics,Mostly Positive,230.0,75.0,False
100045,Angry Video Game Nerd Adventures,237740,https://store.steampowered.com/app/237740/,75,199.0,267.0,245.0,2013-09-20T00:00:00.000Z,"[""Comedy"", ""Action"", ""Nudity"", ""Retro"", ""Difficult"", ""Side Scroller"", ""Adventure"", ""Indie"", ""Satire"", ""Old School"", ""Controller"", ""Pixel Graphics"", ""Gore"", ""Violent"", ""Platformer"", ""2D"", ""Memes"", ""Singleplayer"", ""Great Soundtrack"", ""Soundtrack"", ""Funny""]","[{""name"": ""Wii U""}, {""name"": ""PC""}]",FreakZone Games,Very Positive*,1925.0,88.0,False
100046,FIFA 14,,,86,4969.0,9960.0,14128.0,2013-09-24T00:00:00.000Z,"[""Sports""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""PC""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]","EA Sports, EA Canada",,,,False
