ID,OpenCriticTitle,SteamTitle,SteamURL,SteamReviewsRating,SteamReviewsNum,SteamReviewsPercent,SteamReleaseDate,SteamDeveloper(s),SteamPublisher(s),SteamTags,SteamDLC,SteamDelisted
107082,Boxville,Boxville,https://store.steampowered.com/app/1750710/,Very Positive,284,92,30/9/2022,Triomatica Games,Triomatica Games,"Adventure, Puzzle, Exploration, Point & Click, Investigation, 2D, Cartoon, Cartoony, Colorful, Cute, Hand-drawn, Atmospheric, Family Friendly, Logic, Old School, Story Rich, Singleplayer, Emotional, Funny, Relaxing, Comedy",FALSE,FALSE
107084,Monorail Stories,Monorail Stories,https://store.steampowered.com/app/1267070/,Mixed,35,62,30/9/2022,Stelex Software,Stelex Software,"Adventure, Casual, Simulation, Exploration, Life Sim, Third Person, Atmospheric, Choices Matter, Conversation, Multiple Endings, Story Rich, Female Protagonist, Co-op, Multiplayer, Online Co-Op, Singleplayer, Indie, Funny, Relaxing, Replay Value",FALSE,FALSE
107085,Dakar Desert Rally,Dakar Desert Rally,https://store.steampowered.com/app/1839940/,Mixed,1279,57,4/10/2022,Saber Porto Ltd.,Saber Interactive,"Racing, Simulation, Sports, Automobile Sim, Motocross, Open World, 3D, Cinematic, First-Person, Realistic, Third Person, Atmospheric, Bikes, Family Friendly, Modern, Offroad, Driving, PvP, Multiplayer, Singleplayer, Mod",FALSE,FALSE
107087,Overwatch 2,Overwatch® 2,https://store.steampowered.com/app/2357570/,Mostly Negative*,126716,32,10/8/2023,"Blizzard Entertainment,  Inc.","Blizzard Entertainment,  Inc.","Action, Casual, MOBA, Shooter, FPS, Hero Shooter, Third-Person Shooter, Cinematic, First-Person, Third Person, Sci-fi, PvE, PvP, Team-Based, Co-op, Multiplayer, Online Co-Op, Competitive, Lore-Rich, Free to Play",FALSE,FALSE
107089,Chaos;Head Noah,CHAOS;HEAD NOAH,https://store.steampowered.com/app/1961950/,Very Positive,1340,89,7/10/2022,MAGES. Inc.,"Spike Chunsoft Co.,  Ltd.","Adventure, Visual Novel, Horror, 2D, Anime, Atmospheric, Mystery, Romance, Science, Sci-fi, Choices Matter, Story Rich, Singleplayer, Soundtrack, Great Soundtrack, Psychological, Gore, Sexual Content, Violent",FALSE,FALSE
107090,SuperPower 3,SuperPower 3,https://store.steampowered.com/app/1563130/,Overwhelmingly Negative,970,10,7/10/2022,GolemLabs,THQ Nordic,"Simulation, Strategy, Management, RTS, Education, Grand Strategy, Political Sim, Real Time Tactics, Wargame, 3D, Realistic, Atmospheric, Economy, Foreign, Military, Modern, Political, Politics, War, Mod, Lore-Rich",FALSE,FALSE
107091,Aquarist,Aquarist,https://store.steampowered.com/app/1430760/,Very Positive,823,83,29/3/2024,FreeMind S.A.,"PlayWay S.A., FreeMind S.A.","Casual, Simulation, Building, Management, Sandbox, Education, Immersive Sim, 3D, Colorful, Cute, First-Person, Atmospheric, Family Friendly, Nature, Fishing, Singleplayer, Indie, Relaxing",FALSE,FALSE
107092,Asterigos Curse of the Stars,Asterigos: Curse of the Stars,https://store.steampowered.com/app/1731070/,Mostly Positive*,978,78,11/10/2022,Acme Gamestudio,tinyBuild,"Action, Adventure, RPG, Action RPG, Action-Adventure, Exploration, Hack and Slash, Metroidvania, Souls-like, 3D, Stylized, Third Person, Fantasy, Magic, Medieval, Mythology, Rome, Multiple Endings, Story Rich, Female Protagonist, Controller",FALSE,FALSE
107093,Kamiwaza: Way of the Thief,Kamiwaza: Way of the Thief,https://store.steampowered.com/app/1924810/,Positive,49,87,11/10/2022,ACQUIRE Corp.,"NIS America,  Inc.","Action, Stealth, 3D, Third Person, Ninja, Choices Matter, Story Rich, Singleplayer",FALSE,FALSE
107095,PGA Tour 2K23,PGA TOUR 2K23,https://store.steampowered.com/app/1588010/,Mostly Positive*,4168,75,13/10/2022,HB Studios,2K,"RPG, Simulation, Sports, Golf, Third Person, PvP, 4 Player Local, Local Co-Op, Local Multiplayer, Multiplayer, Singleplayer, Controller",FALSE,FALSE
