ID,OpenCriticTitle,SteamTitle,SteamURL,SteamReviewsRating,SteamReviewsNum,SteamReviewsPercent,SteamReleaseDate,SteamDeveloper(s),SteamPublisher(s),SteamTags,SteamDLC,SteamDelisted
100001,The Journey Down: Chapter One,The Journey Down: Chapter One,https://store.steampowered.com/app/220090/,Very Positive,709,86,9/1/2013,SkyGoblin,SkyGoblin,"Adventure, Point & Click, 2.5D, 3D, Colorful, Noir, Realistic, Atmospheric, Dark, Dark Fantasy, Dynamic Narration, Fantasy, Surreal, Linear, Narration, Episodic, Indie, Comedy, Dark Comedy, Mouse only",FALSE,FALSE
100002,Kentucky Route Zero,Kentucky Route Zero,https://store.steampowered.com/app/231200/,Very Positive*,2345,82,22/2/2013,Cardboard Computer,Cardboard Computer,"Adventure, Experimental, Exploration, Point & Click, Visual Novel, Walking Simulator, Side Scroller, 2D, Stylized, Atmospheric, Mystery, Surreal, Story Rich, Singleplayer, Episodic, Indie, Soundtrack, Beautiful, Great Soundtrack, Kickstarter",FALSE,FALSE
100003,The Bridge,The Bridge,https://store.steampowered.com/app/204240/,Very Positive*,1226,85,22/2/2013,"Ty Taylor, Vega Castañeda",The Quantum Astrophysicists Guild,"Adventure, Casual, Puzzle, Strategy, Platformer, 2D, Abstract, Hand-drawn, Stylized, Atmospheric, Dark, Logic, Philosophical, Surreal, Physics, Singleplayer, Indie, Difficult, Emotional",FALSE,FALSE
100004,Tomb Raider,Tomb Raider,https://store.steampowered.com/app/203160/,Very Positive,47930,94,4/3/2013,"Crystal Dynamics, Eidos-Montréal, Feral Interactive, Nixxes","Crystal Dynamics, Feral Interactive","Action, Adventure, Puzzle, RPG, Action-Adventure, Exploration, Platformer, Shooter, Stealth, Third-Person Shooter, 3D, 3D Vision, Cinematic, Third Person, Atmospheric, Quick-Time Events, Story Rich, Female Protagonist, Multiplayer, Singleplayer",FALSE,FALSE
100005,Ultratron,Ultratron,https://store.steampowered.com/app/219190/,Very Positive,515,87,18/3/2013,Puppygames,Puppygames,"Action, Arcade, Shooter, Bullet Hell, Shoot 'Em Up, Twin Stick Shooter, 2D, Pixel Graphics, Retro, Robots, Sci-fi, Local Co-Op, Singleplayer, Indie, Difficult",FALSE,FALSE
100007,Anodyne,Anodyne,https://store.steampowered.com/app/234900/,Very Positive,943,86,22/3/2013,"Melos Han-Tani, Marina Kittaka",Analgesic Productions,"Action, Adventure, Puzzle, RPG, Action RPG, Action-Adventure, Exploration, Dungeon Crawler, 2D, Pixel Graphics, Top-Down, Atmospheric, Dark, Retro, Surreal, Combat, Singleplayer, Indie, Soundtrack, Great Soundtrack, Psychological",FALSE,FALSE
100008,Warframe,Warframe,https://store.steampowered.com/app/230410/,Very Positive*,274595,91,25/3/2013,Digital Extremes,Digital Extremes,"Action, RPG, Action RPG, Shooter, Hack and Slash, Looter Shooter, Third-Person Shooter, Third Person, Loot, Ninja, Parkour, Sci-fi, Space, Character Customization, PvE, Co-op, Massively Multiplayer, Multiplayer, Online Co-Op, Singleplayer, Lore-Rich, Free to Play",FALSE,FALSE
100009,Another World: 20th Anniversary Edition,Another World,https://store.steampowered.com/app/233550/,Very Positive,1570,84,4/4/2013,"Eric Chahi, DotEmu",The Digital Lounge,"Action, Adventure, Puzzle, Platformer, 2D Platformer, 2D, Cinematic, 1990's, Aliens, Atmospheric, Old School, Retro, Sci-fi, Singleplayer, Remake, Classic, Cult Classic, Difficult, Controller",FALSE,FALSE
100010,Fez,FEZ,https://store.steampowered.com/app/224760/,Very Positive*,6080,91,1/5/2013,Polytron Corporation,Trapdoor,"Adventure, Casual, Puzzle, Exploration, Platformer, Metroidvania, 2.5D, 2D, Cute, Pixel Graphics, Atmospheric, Mystery, Retro, Singleplayer, Indie, Soundtrack, Beautiful, Great Soundtrack, Relaxing, Controller",FALSE,FALSE
100011,Anomaly 2,Anomaly 2,https://store.steampowered.com/app/236730/,Mostly Positive,418,77,15/5/2013,11 bit studios,11 bit studios,"Action, Strategy, RTS, Tower Defense, Top-Down, Sci-fi, Tactical, Multiplayer, Singleplayer, Indie, Touch-Friendly",FALSE,FALSE
100012,Reus,Reus,https://store.steampowered.com/app/222730/,Mostly Positive*,2400,78,16/5/2013,Abbey Games,Abbey Games,"Casual, Puzzle, Simulation, Strategy, God Game, Management, Sandbox, 2D, Family Friendly, Fantasy, Nature, Resource Management, Multiplayer, Singleplayer, Indie, Soundtrack, Addictive, Funny, Great Soundtrack, Relaxing, Replay Value",FALSE,FALSE
100013,The Night of the Rabbit,The Night of the Rabbit,https://store.steampowered.com/app/230820/,Very Positive*,1045,87,28/5/2013,Daedalic Entertainment,Daedalic Entertainment,"Adventure, Puzzle, Hidden Object, Point & Click, 2D, Hand-drawn, Third Person, 1990's, Atmospheric, Fantasy, Magic, Retro, Story Rich, Singleplayer, Indie, Remake, Soundtrack, Classic, Cult Classic, Great Soundtrack",FALSE,FALSE
100014,The Swapper,The Swapper,https://store.steampowered.com/app/231160/,Very Positive*,3351,93,30/5/2013,"Olli Harjola,  Otto Hantula,  Tom Jubert,  Carlo Castellano",Facepalm Games,"Action, Adventure, Puzzle, Exploration, Platformer, Horror, Metroidvania, Side Scroller, 2D, Atmospheric, Mystery, Philosophical, Sci-fi, Space, Story Rich, Singleplayer, Indie, Soundtrack, Difficult, Great Soundtrack, Psychological",FALSE,FALSE
100015,Neverwinter,Neverwinter,https://store.steampowered.com/app/109600/,Mostly Positive*,18506,74,5/12/2013,Cryptic Studios,Arc Games,"Action, Adventure, RPG, Action RPG, MMORPG, Open World, Hack and Slash, Third Person, Atmospheric, Dragons, Fantasy, Character Customization, PvE, PvP, Co-op, Massively Multiplayer, Multiplayer, Dungeons & Dragons, Free to Play",FALSE,FALSE
100016,Deadpool,Deadpool,https://store.steampowered.com/app/224060/,,,,,,,,,TRUE
100018,Rogue Legacy,Rogue Legacy,https://store.steampowered.com/app/241600/,Very Positive*,9976,91,27/6/2013,Cellar Door Games,Cellar Door Games,"Action, Adventure, RPG, Arcade, Exploration, Platformer, Roguelike, Action Roguelike, Metroidvania, Roguelite, Roguevania, Side Scroller, 2D, Pixel Graphics, Fantasy, Medieval, Singleplayer, Indie, Addictive, Controller",FALSE,FALSE
100019,If My Heart Had Wings,If My Heart Had Wings,https://store.steampowered.com/app/326480/,Very Positive*,2010,92,28/6/2013,MoeNovel,MoeNovel,"Action, Adventure, Casual, Simulation, Point & Click, Visual Novel, Dating Sim, Anime, Cute, Atmospheric, Romance, Choices Matter, Story Rich, Singleplayer, Soundtrack, Funny, Great Soundtrack, Mature, Nudity, Sexual Content",FALSE,FALSE
100020,Bleed,Bleed,https://store.steampowered.com/app/239800/,Very Positive,1473,92,3/7/2013,Ian Campbell,Ian Campbell,"Action, Arcade, Platformer, Shooter, Shoot 'Em Up, Side Scroller, 2D, Cute, Pixel Graphics, Retro, Bullet Time, Female Protagonist, Co-op, Local Co-Op, Local Multiplayer, Multiplayer, Singleplayer, Indie, Difficult, Fast-Paced, Short",FALSE,FALSE
100021,Final Fantasy VII,FINAL FANTASY VII,https://store.steampowered.com/app/39140/,Very Positive,15550,91,4/7/2013,Square Enix,Square Enix,"Adventure, RPG, Strategy, Exploration, Open World, Party-Based RPG, JRPG, 1990's, Atmospheric, Cyberpunk, Fantasy, Retro, Sci-fi, Story Rich, Singleplayer, Soundtrack, Turn-Based, Classic, Epic, Great Soundtrack",FALSE,FALSE
100023,Dota 2,Dota 2,https://store.steampowered.com/app/570/,Very Positive*,798122,88,9/7/2013,Valve,Valve,"Action, RPG, Simulation, Sports, Strategy, Action RPG, eSports, MOBA, RTS, Tower Defense, Fantasy, Character Customization, PvP, Team-Based, Co-op, Multiplayer, Online Co-Op, Competitive, Difficult, Replay Value, Free to Play",FALSE,FALSE
100024,Toki Tori 2+,Toki Tori 2+,https://store.steampowered.com/app/201420/,Very Positive,708,87,11/7/2013,Two Tribes,Two Tribes,"Adventure, Casual, Puzzle, Exploration, Open World, Platformer, Choose Your Own Adventure, Metroidvania, 2D, Colorful, Cute, Family Friendly, Nature, Level Editor, Nonlinear, Singleplayer, Indie, Relaxing, Controller",FALSE,FALSE
100025,Ittle Dew,Ittle Dew,https://store.steampowered.com/app/241320/,Very Positive,471,92,23/7/2013,Ludosity,Ludosity,"Action, Adventure, Puzzle, RPG, Exploration, Sokoban, 2D, Cartoon, Cartoony, Cute, Top-Down, Fantasy, Female Protagonist, Singleplayer, Indie, Soundtrack, Funny, Great Soundtrack, Replay Value, Short, Comedy",FALSE,FALSE
100026,Shadowrun Returns,Shadowrun Returns,https://store.steampowered.com/app/234650/,Very Positive*,6645,89,25/7/2013,Harebrained Schemes,Paradox Interactive,"Adventure, RPG, Strategy, Turn-Based Strategy, CRPG, Isometric, Atmospheric, Cyberpunk, Fantasy, Sci-fi, Tactical, Moddable, Story Rich, Female Protagonist, Singleplayer, Indie, Mod, Turn-Based, Crowdfunded, Kickstarter",FALSE,FALSE
100027,CastleStorm,CastleStorm,https://store.steampowered.com/app/241410/,Very Positive,1231,89,29/7/2013,Zen Studios,Zen Studios,"Action, Casual, Strategy, Arcade, RTS, Tower Defense, 2D, Split Screen, Destruction, Fantasy, Medieval, Physics, Co-op, Local Co-Op, Local Multiplayer, Multiplayer, Singleplayer, Indie, Funny, Comedy",FALSE,FALSE
100028,Hammerwatch,Hammerwatch,https://store.steampowered.com/app/239070/,Very Positive*,2447,87,12/8/2013,Crackshell,Team17,"Action, Adventure, RPG, Roguelike, Dungeon Crawler, Hack and Slash, 2D, Pixel Graphics, Top-Down, Fantasy, Retro, Level Editor, 4 Player Local, Co-op, Local Co-Op, Local Multiplayer, Multiplayer, Online Co-Op, Singleplayer, Indie",FALSE,FALSE
100030,Gone Home,Gone Home,https://store.steampowered.com/app/232430/,Mostly Positive*,10598,77,15/8/2013,Fullbright,"Fullbright, Serenity Forge","Adventure, Exploration, Interactive Fiction, Point & Click, Walking Simulator, First-Person, 1990's, Atmospheric, LGBTQ+, Mystery, Romance, Narration, Story Rich, Female Protagonist, Singleplayer, Indie, Soundtrack, Emotional, Great Soundtrack, Short",FALSE,FALSE
100031,War Thunder,War Thunder,https://store.steampowered.com/app/236390/,Mostly Positive*,274110,74,15/8/2013,Gaijin Entertainment,Gaijin Network Ltd,"Action, Simulation, Shooter, Flight, Third-Person Shooter, Realistic, Third Person, VR, Cold War, Military, Modern, Naval, Tanks, War, World War I, World War II, Combat, Naval Combat, Vehicular Combat, Massively Multiplayer, Multiplayer, Mod, Free to Play",FALSE,FALSE
100032,Race The Sun,Race The Sun,https://store.steampowered.com/app/253030/,Very Positive,1923,94,9/12/2013,Flippfly LLC,Flippfly LLC,"Action, Racing, Arcade, Survival, Runner, 3D, First-Person, Noir, Third Person, VR, Atmospheric, Post-apocalyptic, Surreal, Driving, Level Editor, Perma Death, Procedural Generation, Tutorial, Difficult, Relaxing",FALSE,FALSE
100033,Electronic Super Joy,Electronic Super Joy,https://store.steampowered.com/app/244870/,Very Positive*,1535,88,23/8/2013,Michael Todd Games,2&30 Software,"Action, Adventure, Platformer, Rhythm, Precision Platformer, Side Scroller, 2D, Pixel Graphics, Retro, Score Attack, Singleplayer, Indie, Music, Soundtrack, Addictive, Difficult, Funny, Great Soundtrack, Short",FALSE,FALSE
100034,Final Fantasy XIV Online: A Realm Reborn,FINAL FANTASY XIV Online,https://store.steampowered.com/app/39210/,Very Positive,58271,87,18/2/2014,Square Enix,Square Enix,"Action, Adventure, RPG, Action RPG, Exploration, MMORPG, Open World, JRPG, Third Person, Atmospheric, Fantasy, Magic, Character Customization, Crafting, Story Rich, Female Protagonist, Co-op, Massively Multiplayer, Multiplayer, Online Co-Op",FALSE,FALSE
100036,The Dark Eye: Memoria,Memoria,https://store.steampowered.com/app/243200/,Very Positive,1967,89,29/8/2013,Daedalic Entertainment,Daedalic Entertainment,"Adventure, Puzzle, Point & Click, 2D, Hand-drawn, 1990's, Atmospheric, Fantasy, Medieval, Retro, Story Rich, Female Protagonist, Singleplayer, Indie, Soundtrack, Classic, Great Soundtrack",FALSE,FALSE
100037,Renowned Explorers: International Society,Renowned Explorers: International Society,https://store.steampowered.com/app/296970/,Very Positive*,1862,91,2/9/2015,Abbey Games,Abbey Games,"Adventure, Casual, RPG, Strategy, Diplomacy, Exploration, Roguelike, Turn-Based Strategy, Roguelite, Tactical RPG, Turn-Based Tactics, 2D, Economy, Tactical, Combat, Turn-Based Combat, Singleplayer, Indie, Turn-Based, Funny, Replay Value, Comedy",FALSE,FALSE
100038,Rayman Legends,Rayman Legends,https://store.steampowered.com/app/242550/,Very Positive*,3720,85,3/9/2013,Ubisoft Montpellier,Ubisoft,"Action, Adventure, Platformer, Side Scroller, 2D, Atmospheric, Family Friendly, 4 Player Local, Co-op, Local Co-Op, Local Multiplayer, Multiplayer, Singleplayer, Music, Soundtrack, Beautiful, Difficult, Fast-Paced, Funny, Great Soundtrack, Comedy, Controller",FALSE,FALSE
100039,Brothers: A Tale of Two Sons,Brothers - A Tale of Two Sons,https://store.steampowered.com/app/225080/,Very Positive*,16324,94,3/9/2013,Starbreeze Studios AB,505 Games,"Action, Adventure, Casual, Puzzle, Platformer, Walking Simulator, 3D, 3D Vision, Third Person, Atmospheric, Fantasy, Story Rich, Local Co-Op, Multiplayer, Singleplayer, Indie, Soundtrack, Beautiful, Emotional, Great Soundtrack, Short, Controller",FALSE,FALSE
100040,Outlast,Outlast,https://store.steampowered.com/app/238320/,Overwhelmingly Positive*,26242,96,4/9/2013,Red Barrels,Red Barrels,"Action, Adventure, Stealth, Survival, Walking Simulator, Horror, Survival Horror, 3D, 3D Vision, First-Person, Atmospheric, Dark, Parkour, Sci-fi, Multiplayer, Singleplayer, Indie, Difficult, Psychological, Gore, Nudity",FALSE,FALSE
100041,Rugby World Cup 2015,Rugby World Cup 2015,https://store.steampowered.com/app/365750/,,,,,,,,,TRUE
100042,Volgarr the Viking,Volgarr the Viking,https://store.steampowered.com/app/247240/,Very Positive,1590,84,13/9/2013,Crazy Viking Studios,Crazy Viking Studios,"Action, Adventure, Arcade, Platformer, 2D Platformer, Metroidvania, Side Scroller, 2D, Pixel Graphics, Fantasy, Old School, Retro, Singleplayer, Indie, Difficult, Gore",FALSE,FALSE
100043,Foul Play,Foul Play,https://store.steampowered.com/app/244810/,Very Positive,460,80,18/9/2013,Mediatonic,Epic Games,"Action, Adventure, Casual, Beat 'em up, Side Scroller, 2D, Steampunk, Co-op, Local Co-Op, Online Co-Op, Indie, Comedy",FALSE,FALSE
100044,Ironclad Tactics,Ironclad Tactics,https://store.steampowered.com/app/226960/,Mostly Positive,230,75,18/9/2013,Zachtronics,Zachtronics,"Casual, Strategy, Card Game, Turn-Based Strategy, Card Battler, Mechs, Robots, Steampunk, Tactical, Deckbuilding, Co-op, Singleplayer, Indie, Turn-Based",FALSE,FALSE
100045,Angry Video Game Nerd Adventures,Angry Video Game Nerd Adventures,https://store.steampowered.com/app/237740/,Very Positive*,1925,88,20/9/2013,FreakZone Games,Retroware,"Action, Adventure, Platformer, Side Scroller, 2D, Pixel Graphics, Memes, Old School, Retro, Satire, Singleplayer, Indie, Soundtrack, Difficult, Funny, Great Soundtrack, Comedy, Gore, Nudity, Violent, Controller",FALSE,FALSE
100047,Shadow Warrior,Shadow Warrior,https://store.steampowered.com/app/233130/,Very Positive*,7980,93,26/9/2013,Flying Wild Hog,Devolver Digital,"Action, Adventure, Shooter, FPS, Hack and Slash, First-Person, Atmospheric, Dark, Demons, Ninja, Old School, Swordplay, Singleplayer, Remake, Soundtrack, Classic, Funny, Great Soundtrack, Comedy, Gore",FALSE,FALSE
100048,NBA 2K14,NBA 2K14,https://store.steampowered.com/app/255480/,,,,,,,,,TRUE
100049,Knock-Knock,Knock-knock,https://store.steampowered.com/app/250380/,Very Positive,1478,88,4/10/2013,Ice-Pick Lodge,Ice-Pick Lodge,"Adventure, Puzzle, Strategy, Platformer, Survival, 2D Platformer, Horror, Side Scroller, 2D, Cartoon, Cartoony, Hand-drawn, Atmospheric, Mystery, Surreal, Tactical, Procedural Generation, Story Rich, Singleplayer, Difficult, Psychological",FALSE,FALSE
100050,Gas Guzzlers Extreme,Gas Guzzlers Extreme,https://store.steampowered.com/app/243800/,Very Positive*,1131,87,8/10/2013,Gamepires,Jagex Ltd,"Action, Casual, Racing, Sports, Arcade, Automobile Sim, Open World, Shooter, Arena Shooter, Combat Racing, Destruction, Combat, Driving, Vehicular Combat, Co-op, Multiplayer, Singleplayer, Fast-Paced, Funny, Controller",FALSE,FALSE
100054,The Wolf Among Us: Season One,The Wolf Among Us,https://store.steampowered.com/app/250320/,Overwhelmingly Positive,17257,97,11/10/2013,Telltale,Telltale,"Action, Adventure, Point & Click, Visual Novel, Choose Your Own Adventure, Cinematic, Comic Book, Noir, Atmospheric, Dark, Detective, Fantasy, Mystery, Choices Matter, Multiple Endings, Story Rich, Singleplayer, Episodic, Mature",FALSE,FALSE
100057,Bridge Constructor,Bridge Constructor,https://store.steampowered.com/app/250460/,Mostly Positive,898,78,16/10/2013,ClockStone,Headup,"Casual, Puzzle, Simulation, Building, Physics, Singleplayer, Indie",FALSE,FALSE
100058,LEGO Marvel Super Heroes,LEGO MARVEL Super Heroes,https://store.steampowered.com/app/249130/,Very Positive*,7229,93,22/10/2013,Traveller's Tales,Warner Bros. Interactive Entertainment,"Action, Adventure, Casual, Puzzle, Open World, Platformer, Sandbox, Comic Book, Split Screen, Third Person, Family Friendly, Superhero, Co-op, Local Co-Op, Local Multiplayer, Multiplayer, Singleplayer, LEGO, Funny, Comedy",FALSE,FALSE
100059,Rocksmith 2014 Edition,Rocksmith 2014 Edition,https://store.steampowered.com/sub/222198/,,,,,,,,,TRUE
100060,Tetrobot and Co.,Tetrobot and Co.,https://store.steampowered.com/app/235980/,Very Positive,276,97,22/10/2013,Swing Swing Submarine,Swing Swing Submarine,"Casual, Puzzle, Platformer, Robots, Indie, Difficult",FALSE,FALSE
100061,Solar Flux,Solar Flux,https://store.steampowered.com/app/251910/,Mostly Positive,72,79,24/10/2013,Firebrand Games,Pixel Games UK,"Puzzle, Strategy, Space, Indie",FALSE,FALSE
100062,Nihilumbra,Nihilumbra,https://store.steampowered.com/app/252670/,Very Positive*,963,83,25/9/2013,BeautiFun Games,BeautiFun Games,"Action, Adventure, Casual, Puzzle, Platformer, Side Scroller, 2D, Atmospheric, Dark, Narration, Story Rich, Singleplayer, Indie, Soundtrack, Beautiful, Difficult, Great Soundtrack, Short",FALSE,FALSE
100063,Slender: The Arrival,Slender: The Arrival,https://store.steampowered.com/app/252330/,Very Positive*,3409,86,28/10/2013,Blue Isle Studios,Blue Isle Publishing,"Action, Adventure, Exploration, Open World, Survival, Walking Simulator, Horror, Survival Horror, First-Person, Atmospheric, Dark, Female Protagonist, Co-op, Multiplayer, Singleplayer, Indie, Difficult, Psychological, Short",FALSE,FALSE
100065,Assassin's Creed IV: Black Flag,Assassin's Creed IV Black Flag,https://store.steampowered.com/app/242050/,Very Positive,28355,86,,Ubisoft Montreal,Ubisoft,"Action, Adventure, RPG, Action RPG, Action-Adventure, Exploration, Open World, Stealth, Third Person, Atmospheric, Assassin, Historical, Naval, Parkour, Pirates, Combat, Naval Combat, Story Rich, Multiplayer, Singleplayer, Mature",FALSE,FALSE
100066,Battlefield 4,Battlefield™ 4,https://store.steampowered.com/app/1238860/,Very Positive,27446,83,29/10/2013,DICE,Electronic Arts,"Action, Strategy, Open World, Shooter, FPS, First-Person, Destruction, Military, Tactical, War, PvP, Story Rich, Co-op, Massively Multiplayer, Multiplayer, Online Co-Op, Singleplayer, Soundtrack, Great Soundtrack, Violent, Controller",FALSE,FALSE
100067,Journey of a Roach,Journey of a Roach,https://store.steampowered.com/app/255300/,Very Positive,1444,89,4/11/2013,"Koboldgames, Daedalic Entertainment",Daedalic Entertainment,"Adventure, Casual, Puzzle, Point & Click, Cute, Post-apocalyptic, Singleplayer, Indie, Funny, Short, Comedy, Controller",FALSE,FALSE
100068,Call of Duty: Ghosts,Call of Duty: Ghosts,https://store.steampowered.com/app/209160/,Mixed,6064,58,25/3/2014,Infinity Ward,Activision,"Action, Hacking, Shooter, Survival, FPS, Horror, Survival Horror, First-Person, America, Dog, Futuristic, Military, Tactical, War, Linear, Team-Based, Co-op, Multiplayer, Online Co-Op, Singleplayer, Competitive, Fast-Paced",FALSE,FALSE
100070,Type:Rider,Type:Rider,https://store.steampowered.com/app/258890/,Very Positive,552,83,6/11/2013,"Ex Nihilo, ARTE France",ARTE France,"Action, Adventure, Casual, Puzzle, Platformer, 2D Platformer, Education, Typing, 2D, Stylized, Text-Based, Atmospheric, Historical, Physics, Story Rich, Singleplayer, Indie, Beautiful, Short",FALSE,FALSE
100072,Long Live The Queen,Long Live The Queen,https://store.steampowered.com/app/251990/,Very Positive*,4652,94,8/11/2013,Hanako Games,Hanako Games,"Adventure, RPG, Simulation, Strategy, Visual Novel, Choose Your Own Adventure, Political Sim, 2D, Anime, Cute, Fantasy, Medieval, Political, Politics, Character Customization, Choices Matter, Multiple Endings, Story Rich, Female Protagonist, Singleplayer, Indie, Difficult",FALSE,FALSE
100073,BioShock Infinite: Burial at Sea - Episode One,BioShock Infinite: Burial at Sea - Episode 1,https://store.steampowered.com/app/214931/,Mostly Positive,1413,78,12/11/2013,"Irrational Games, Virtual Programming",2K,"Action, Adventure, Shooter, FPS, First-Person, Noir, Atmospheric, Sci-fi, Steampunk, Story Rich, Singleplayer, Mature",TRUE,FALSE
100074,Injustice: Gods Among Us - Ultimate Edition,Injustice: Gods Among Us Ultimate Edition,https://store.steampowered.com/app/242700/,Very Positive,3757,82,12/11/2013,"NetherRealm Studios, High Voltage Software",Warner Bros. Interactive Entertainment,"Action, Arcade, Fighting, 2D Fighter, Beat 'em up, 2.5D, 2D, 3D, 3D Vision, Comic Book, Atmospheric, Superhero, Story Rich, Co-op, Local Multiplayer, Multiplayer, Singleplayer, Soundtrack, Competitive, Great Soundtrack, Gore, Controller",FALSE,FALSE
100076,World of Warplanes,World of Warplanes,https://store.steampowered.com/app/790710/,Mostly Positive*,2288,71,12/9/2018,Wargaming Group Limited,Wargaming Group Limited,"Action, Simulation, Arcade, Shooter, Flight, FPS, Third-Person Shooter, 3D, Cinematic, Colorful, First-Person, Realistic, Third Person, Atmospheric, Cold War, Military, War, World War I, World War II, PvP, Team-Based, Controller",FALSE,FALSE
100077,XCOM: Enemy Within,XCOM: Enemy Within,https://store.steampowered.com/app/225340/,Very Positive,1489,88,11/11/2013,"Firaxis Games, Feral Interactive","2K, Feral Interactive","Action, RPG, Strategy, Base Building, Building, Turn-Based Strategy, Turn-Based Tactics, Aliens, Mechs, Sci-fi, Tactical, Combat, Perma Death, Turn-Based Combat, Multiplayer, Singleplayer, Turn-Based, Addictive, Difficult, Unforgiving, Touch-Friendly",FALSE,FALSE
100078,Redshirt,Redshirt,https://store.steampowered.com/app/247870/,Mixed,211,41,13/11/2013,The Tiniest Shark,Positech,"Casual, RPG, Simulation, Strategy, Dark, Satire, Sci-fi, Indie, Comedy",FALSE,FALSE
100079,Chivalry: Deadliest Warrior,Chivalry: Deadliest Warrior,https://store.steampowered.com/app/241280/,Mixed,1089,58,14/11/2013,Torn Banner Studios,Torn Banner Studios,"Action, Simulation, First-Person, Third Person, Medieval, Ninja, Swordplay, Multiplayer, Indie, Gore",FALSE,FALSE
100080,Baldur's Gate II: Enhanced Edition,Baldur's Gate II: Enhanced Edition,https://store.steampowered.com/app/257350/,Very Positive*,5385,91,15/11/2013,Beamdog,Beamdog,"Action, Adventure, RPG, Tabletop, Action-Adventure, Open World, Party-Based RPG, CRPG, Isometric, Atmospheric, Dragons, Fantasy, Magic, Old School, Character Customization, Choices Matter, Story Rich, Multiplayer, Online Co-Op, Singleplayer, Dungeons & Dragons, Real-Time, Real-Time with Pause",FALSE,FALSE
100081,Contrast,Contrast,https://store.steampowered.com/app/224460/,Very Positive*,2502,89,15/11/2013,Compulsion Games,,"Adventure, Casual, Puzzle, Platformer, 3D Platformer, 3D, 3D Vision, Noir, Third Person, Atmospheric, Detective, Fantasy, Mystery, Steampunk, Story Rich, Female Protagonist, Singleplayer, Indie, Soundtrack, Great Soundtrack, Short",FALSE,FALSE
100082,Deadfall Adventures,Deadfall Adventures,https://store.steampowered.com/app/231330/,Mostly Positive,1250,74,15/11/2013,The Farm 51,THQ Nordic,"Action, Adventure, Puzzle, Strategy, Action-Adventure, Exploration, Open World, Shooter, Survival, FPS, Horror, First-Person, War, World War I, World War II, Co-op, Multiplayer, Singleplayer, Indie",FALSE,FALSE
100083,flower,Flower,https://store.steampowered.com/app/966330/,Mostly Positive*,1789,78,14/2/2019,thatgamecompany,Annapurna Interactive,"Action, Adventure, Casual, Puzzle, Arcade, Exploration, Open World, Collectathon, Flight, 3D, Colorful, Atmospheric, Family Friendly, Nature, Singleplayer, Indie, Emotional, Relaxing, Short",FALSE,FALSE
100085,Knack,KNACK,https://store.steampowered.com/app/802810/,,,,,,,,,TRUE
100088,Need for Speed: Rivals,Need for Speed™ Rivals,https://store.steampowered.com/app/1262600/,Mostly Positive,3122,75,19/11/2013,Criterion Games,Electronic Arts,"Action, Adventure, Racing, Sports, Arcade, Open World, Combat Racing, FPS, First-Person, Split Screen, Third Person, Atmospheric, Destruction, War, Combat, Driving, PvP, Co-op, Multiplayer, Online Co-Op, Singleplayer",FALSE,FALSE
100090,Super Motherload,Super Motherload,https://store.steampowered.com/app/269110/,Mostly Positive,739,76,15/11/2013,XGen Studios,XGen Studios,"Action, Adventure, Casual, RPG, Exploration, Mining, Family Friendly, Loot, Retro, Sci-fi, Underground, Procedural Generation, 4 Player Local, Local Co-Op, Local Multiplayer, Multiplayer, Singleplayer, Indie, Soundtrack, Classic, Great Soundtrack",FALSE,FALSE
100091,X Rebirth,X Rebirth,https://store.steampowered.com/app/2870/,Mostly Negative*,3385,37,15/11/2013,Egosoft,Egosoft,"Action, Adventure, Simulation, Strategy, Exploration, Management, Open World, Sandbox, Shooter, Space Sim, Flight, Trading, First-Person, Atmospheric, Economy, Sci-fi, Space, Moddable, Singleplayer, Mod, Soundtrack, Great Soundtrack",FALSE,FALSE
100092,Adventure Time: Explore the Dungeon Because I DON'T KNOW!,Adventure Time:  Explore the Dungeon Because I DON’T KNOW!,https://store.steampowered.com/app/243560/,,,,,,,,,TRUE
100098,LocoCycle,LocoCycle,https://store.steampowered.com/app/224040/,Very Positive,281,83,14/2/2014,Twisted Pixel Games,Xbox Game Studios,"Action, Adventure, Casual, Racing, Arcade, FMV, Quick-Time Events, Singleplayer, Funny, Comedy",FALSE,FALSE
100101,Ryse: Son of Rome,Ryse: Son of Rome,https://store.steampowered.com/app/302510/,Very Positive,12688,85,10/10/2014,Crytek,Crytek,"Action, Adventure, RPG, Open World, Hack and Slash, Third Person, Atmospheric, Fantasy, Historical, Rome, War, Linear, Quick-Time Events, Co-op, Multiplayer, Singleplayer, Benchmark, Short, Gore, Nudity",FALSE,FALSE
100106,Gravity Badgers,Gravity Badgers,https://store.steampowered.com/app/267060/,Mostly Positive,205,70,28/11/2013,Wales Interactive,Wales Interactive,"Action, Adventure, Casual, Puzzle, God Game, Platformer, Shooter, Side Scroller, 2D, Memes, Sci-fi, Space, Physics, Singleplayer, Indie, Comedy, Gore, Controller, Touch-Friendly",FALSE,FALSE
100108,Tiny Barbarian DX,Tiny Barbarian DX,https://store.steampowered.com/app/253350/,Very Positive,124,82,3/12/2013,StarQuail Games,"Nicalis,  Inc.","Action, Adventure, Platformer, 2D, Pixel Graphics, Fantasy, Retro, Singleplayer, Indie, Soundtrack, Great Soundtrack",FALSE,FALSE
