=== RAPPORT ANALYSE V24 FINAL (Optimized) ===

Global MAE: 6.63h
Global Precision: 33.96%

     Genre       MAE  Precision  Count
 SoulsLike 12.993228  50.639208      4
   Shooter  4.408098  46.226345     93
Platformer  3.091314  38.813981     20
  Strategy 10.161679  25.230831    139
       RPG  8.823553  24.602401    173
   3D Plat  4.388828  18.635434     10
      JRPG 12.452270   0.000000     30

Title                          | Act    | Pred   | Diff   | St | JRPG | Sls
FIFA 22                        | 92.1   | 40.3   | -51.9  | ❌ |        | 
Muse Dash                      | 7.4    | 7.4    | +0.0   | ✅ | YES    | 
Monster Hunter Rise            | 24.6   | 28.8   | +4.2   | ⚠️ |        | 
The Long Dark                  | 22.8   | 12.9   | -9.9   | ❌ |        | 
Little Nightmares              | 3.6    | 6.9    | +3.3   | ❌ |        | 
Cult of the Lamb               | 14.8   | 23.4   | +8.6   | ❌ |        | 
Middle-earth: Shadow of War    | 21.5   | 26.8   | +5.2   | ⚠️ |        | 
Mortal Kombat 11               | 6.6    | 9.8    | +3.3   | ❌ |        | 
Conan Exiles                   | 46.3   | 34.2   | -12.1  | ❌ |        | 
Split Fiction                  | 13.5   | 16.2   | +2.8   | ⚠️ |        | 
Hades II                       | 20.1   | 19.9   | -0.1   | ✅ |        | 
The First Descendant           | 38.1   | 28.5   | -9.6   | ❌ |        | 
Resident Evil 7: Biohazard - N | 1.5    | 12.1   | +10.6  | ❌ |        | 
Resident Evil 7 Biohazard      | 9.4    | 9.8    | +0.3   | ✅ |        | 
Brotato                        | 6.1    | 17.0   | +10.9  | ❌ |        | 
XCOM 2                         | 34.0   | 33.4   | -0.6   | ✅ |        | 
Metal Gear Solid V: The Phanto | 46.3   | 36.8   | -9.5   | ⚠️ |        | 
Elden Ring: Shadow of the Erdt | 26.7   | 26.6   | -0.1   | ✅ |        | YES
Grim Dawn                      | 21.9   | 19.3   | -2.6   | ⚠️ |        | 
Mafia: Definitive Edition      | 10.7   | 13.4   | +2.7   | ❌ |        | 
EA Sports FC 24                | 45.9   | 19.7   | -26.2  | ❌ |        | 
EA Sports FC 25                | 55.9   | 18.0   | -37.9  | ❌ |        | 
